"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","1","DEMO_SCENARIO_IDS","","","","","always includes ""baseline"" as the first entry","""baseline"" must be the first scenario — it is the reference stream used by other tests."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","340","findVideo","","","","","returns the exact same object reference (no clone)","findVideo should return the same reference stored in ALL_VIDEOS, not a copy, to enable identity comparisons."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","3","unregisterQoeDemoBridge","","","","","is safe to call when no bridge is registered (idempotent)","Calling unregisterQoeDemoBridge when no bridge is registered must not throw — it should be a safe no-op."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","1","QoECollector","buffering tracking","","","","accumulates multiple buffering events","Each start/end pair must be tracked independently and their durations summed in totalBufferingTime."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","5","registerQoeDemoBridge","","","","","attaches the bridge to window.__QOE_DEMO__","registerQoeDemoBridge must expose the bridge on window.__QOE_DEMO__ so Playwright tests can call getSnapshot() and control playback."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","1","QoECollector","bitrate tracking","","","","counts a switch when the bitrate changes","A transition from one bitrate to a different one must increment the switch counter."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","50","QoECollector","getTimeToFirstFrameMs","","","","returns null when only markFirstFrameRendered has been called","Without a playback-request mark there is no start time, so TTFF must remain null even after the first frame is marked."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","346","ALL_VIDEOS","","","","","movies, shows, and live tabs each have content",""
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","423","DEMO_SCENARIO_LABELS","","","","","has a label entry for every known scenario id","Every scenario id must have a corresponding human-readable label."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","339","HERO_VIDEO","","","","","has a baseline scenario","The hero video should use the baseline scenario for normal playback."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","1","CATALOG","","","","","every row has a non-empty id and label","Every catalog row must have a non-empty id (used as a React key) and a display label."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","1","CATALOG","","","","","contains a ""featured"" row","The ""featured"" row drives the hero banner on the home page."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","1","QoECollector","initial state","","","","starts with zero bitrate switches and null lastBitrate","No bitrate switches must be recorded until the first bitrateChange event fires."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","48","QoECollector","bitrate tracking","","","","does not count as a switch when the bitrate stays the same","Receiving the same bitrate value twice must not increment the switch counter."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","1","QoECollector","getTimeToFirstFrameMs","","","","markPlaybackRequested is idempotent — subsequent calls are ignored","Only the first call to markPlaybackRequested sets the start mark; subsequent calls must be silently ignored so TTFF is not reset mid-session."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:57 UTC 2026","1","DEMO_SCENARIO_IDS","","","","","contains exactly 5 scenario ids","The catalogue must expose exactly 5 fault-injection scenario ids for CI tests."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","354","CATALOG","","","","","contains a ""new-releases"" row","The new-releases row provides browse content for the home page."
"passed","Sun Jun 21 20:08:57 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","362","registerQoeDemoBridge","","","","","preserves the scenario value on the registered bridge","The scenario property must survive registration so Playwright tests can read it from window.__QOE_DEMO__.scenario."
"passed","Sun Jun 21 20:08:58 UTC 2026","Sun Jun 21 20:08:58 UTC 2026","1","QoECollector","buffering tracking","","","","recordBufferingStart is idempotent while a buffering event is open","A second recordBufferingStart while an event is already open must be ignored — the original start time is preserved."
