"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","64","","TestResults","SmokeTests","StreamAppTests.SmokeTests","test_catalog_titles_are_non_empty","Catalog titles are non empty","**Acceptance** test in `SmokeTests`

_Verifies:_ Catalog titles are non empty."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","71","","TestResults","BATTests","StreamAppTests.BATTests","test_catalog_urls_are_https_hls","Catalog urls are HTTPS HLS","**Acceptance** test in `BATTests`

_Verifies:_ Catalog urls are HTTPS HLS."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","48","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_findVideo_returnsNilForUnknownId","Find video returns nil for unknown id","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ Find video returns nil for unknown id."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","53","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogHLSUrlsAreUnique","Catalog HLS urls are unique","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ Catalog HLS urls are unique."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","71","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allHLSUrlsPointToM3u8","All HLS urls point to m3u8","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ All HLS urls point to m3u8."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","60","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_baselineVideoHasExpectedHLSUrl","Baseline video has expected HLS URL","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ Baseline video has expected HLS URL."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","53","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogVideoInequality","Catalog video inequality","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ Catalog video inequality."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","63","","TestResults","RegressionTests","StreamAppTests.RegressionTests","test_catalog_lookup_is_case_sensitive","Catalog lookup is case sensitive","**Acceptance** test in `RegressionTests`

_Verifies:_ Catalog lookup is case sensitive."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","70","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allVideosHaveNonBlankHLSUrls","All videos have non blank HLS urls","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ All videos have non blank HLS urls."
"passed","Fri Jun 26 16:15:12 UTC 2026","Fri Jun 26 16:15:12 UTC 2026","51","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogVideoEquality","Catalog video equality","**Acceptance** test in `VideoCatalogTests`

_Verifies:_ Catalog video equality."
