"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns good just below 5 second threshold","Returns good just below 5 second threshold","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns good just below 5 second threshold."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","8","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","all videos have non-blank ids","All videos have non blank ids","**Unit** test in `VideoCatalogTest`

_Verifies:_ All videos have non blank ids."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","first bitrate change does not increment switch counter","First bitrate change does not increment switch counter","**Unit** test in `QoECollectorTest`

_Verifies:_ First bitrate change does not increment switch counter."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","1","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns good for 0 buffering with 1 error","Returns good for 0 buffering with 1 error","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns good for 0 buffering with 1 error."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns excellent for zero buffering and no errors","Returns excellent for zero buffering and no errors","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns excellent for zero buffering and no errors."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","same bitrate repeated does not increment counter","Same bitrate repeated does not increment counter","**Unit** test in `QoECollectorTest`

_Verifies:_ Same bitrate repeated does not increment counter."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","all videos have non-blank HLS URLs","All videos have non blank HLS UR ls","**Unit** test in `VideoCatalogTest`

_Verifies:_ All videos have non blank HLS UR ls."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","1","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","findVideo returns correct video for each catalog entry","Find video returns correct video for each catalog entry","**Unit** test in `VideoCatalogTest`

_Verifies:_ Find video returns correct video for each catalog entry."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","buffering end without start does not crash","Buffering end without start does not crash","**Unit** test in `QoECollectorTest`

_Verifies:_ Buffering end without start does not crash."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.QoEMetricPayloadTest","QoEMetricPayloadTest","com.devopsdays.qoe.player.QoEMetricPayloadTest","data class equality works","Data class equality works","**Unit** test in `QoEMetricPayloadTest`

_Verifies:_ Data class equality works."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","all HLS URLs point to m3u8 playlists","All HLS UR ls point to m3u8 playlists","**Unit** test in `VideoCatalogTest`

_Verifies:_ All HLS UR ls point to m3u8 playlists."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","37","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","findVideo returns matching video","Find video returns matching video","**Unit** test in `VideoCatalogTest`

_Verifies:_ Find video returns matching video."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns poor for 0 buffering with 5 errors","Returns poor for 0 buffering with 5 errors","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns poor for 0 buffering with 5 errors."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.data.VideoCatalogTest","VideoCatalogTest","com.devopsdays.qoe.player.data.VideoCatalogTest","findVideo returns null for unknown id","Find video returns null for unknown id","**Unit** test in `VideoCatalogTest`

_Verifies:_ Find video returns null for unknown id."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","5","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns fair for 0 buffering with 2 errors","Returns fair for 0 buffering with 2 errors","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns fair for 0 buffering with 2 errors."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","3","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","stopCollecting can be called multiple times safely","Stop collecting can be called multiple times safely","**Unit** test in `QoECollectorTest`

_Verifies:_ Stop collecting can be called multiple times safely."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","2","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","multiple distinct bitrate changes are counted individually","Multiple distinct bitrate changes are counted individually","**Unit** test in `QoECollectorTest`

_Verifies:_ Multiple distinct bitrate changes are counted individually."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns poor for very high buffering time","Returns poor for very high buffering time","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns poor for very high buffering time."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns poor for 10 seconds buffering","Returns poor for 10 seconds buffering","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns poor for 10 seconds buffering."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:24 UTC 2026","2054","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","recording one error increments error count","Recording one error increments error count","**Unit** test in `QoECollectorTest`

_Verifies:_ Recording one error increments error count."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","0","","com.devopsdays.qoe.player.QoEMetricPayloadTest","QoEMetricPayloadTest","com.devopsdays.qoe.player.QoEMetricPayloadTest","payload stores metrics map correctly","Payload stores metrics map correctly","**Unit** test in `QoEMetricPayloadTest`

_Verifies:_ Payload stores metrics map correctly."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","1","","com.devopsdays.qoe.player.services.QoECollectorTest","QoECollectorTest","com.devopsdays.qoe.player.services.QoECollectorTest","recording multiple errors increments count accordingly","Recording multiple errors increments count accordingly","**Unit** test in `QoECollectorTest`

_Verifies:_ Recording multiple errors increments count accordingly."
"passed","Tue Jun 23 02:49:22 UTC 2026","Tue Jun 23 02:49:22 UTC 2026","8","","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","QoEQualityCalculatorTest","com.devopsdays.qoe.player.utils.QoEQualityCalculatorTest","returns excellent just below 2 second threshold","Returns excellent just below 2 second threshold","**Unit** test in `QoEQualityCalculatorTest`

_Verifies:_ Returns excellent just below 2 second threshold."
