"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"iOS Player","Unit Tests","Quality drops","0","0","4","0","0"
"iOS Player","Unit Tests","QoE Collector","0","0","20","0","0"
"iOS Player","Unit Tests","QoE Quality Calculator","0","0","16","0","0"
"iOS Player","Unit Tests","Video Catalog","0","0","16","0","0"
"iOS Player","Unit Tests","Exactly5 errors","0","0","1","0","0"
"iOS Player","Unit Tests","Payload round","0","0","1","0","0"
"iOS Player","Unit Tests","Each buffering","0","0","1","0","0"
"iOS Player","Unit Tests","Buffering event","0","0","1","0","0"
"iOS Player","Unit Tests","Payload platform","0","0","1","0","0"
"iOS Player","Unit Tests","All catalog","0","0","2","0","0"
"iOS Player","Unit Tests","Catalog has","0","0","1","0","0"
"iOS Player","Unit Tests","Find video","0","0","3","0","0"
"iOS Player","Unit Tests","Exactly2 errors","0","0","1","0","0"
"iOS Player","Unit Tests","Just below10","0","0","1","0","0"
"iOS Player","Unit Tests","Catalog videos","0","0","1","0","0"
"iOS Player","Unit Tests","Exactly10 seconds","0","0","1","0","0"
"iOS Player","Unit Tests","Quality calculator","0","0","1","0","0"
"iOS Player","Unit Tests","Buffering accumulates","0","0","1","0","0"
"iOS Player","Unit Tests","Catalog is","0","0","1","0","0"
"iOS Player","Unit Tests","Exactly2 seconds","0","0","1","0","0"
"iOS Player","Unit Tests","Perfect playback","0","0","1","0","0"
"iOS Player","Unit Tests","Just below2","0","0","1","0","0"
"iOS Player","Unit Tests","Initial buffering","0","0","1","0","0"
"iOS Player","Unit Tests","Two collectors","0","0","1","0","0"
"iOS Player","Unit Tests","Catalog subtitles","0","0","1","0","0"
"iOS Player","Unit Tests","Initial errors","0","0","1","0","0"
"iOS Player","Unit Tests","Exactly5 seconds","0","0","1","0","0"
"iOS Player","Unit Tests","Session id","0","0","5","0","0"
"iOS Player","Unit Tests","Baseline video","0","0","1","0","0"
"iOS Player","Unit Tests","First bitrate","0","0","1","0","0"
"iOS Player","Unit Tests","Duplicate buffering","0","0","1","0","0"
"iOS Player","Unit Tests","Payload model","0","0","1","0","0"
"iOS Player","Unit Tests","Exactly4 errors","0","0","1","0","0"
"iOS Player","Unit Tests","Exactly1 error","0","0","1","0","0"
"iOS Player","Unit Tests","Multiple errors","0","0","1","0","0"
"iOS Player","Unit Tests","Buffering end","0","0","1","0","0"
"iOS Player","Unit Tests","Collector creates","0","0","1","0","0"
"iOS Player","Unit Tests","Multiple bitrate","0","0","1","0","0"
"iOS Player","Unit Tests","Errors preserve","0","0","1","0","0"
"iOS Player","Unit Tests","Just below5","0","0","1","0","0"
