"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","57","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogVideoEquality","Catalog video equality","**Unit** test in `VideoCatalogTests`

_Verifies:_ Catalog video equality."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","44","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allHLSUrlsUseHttps","All HLS urls use HTTPS","**Unit** test in `VideoCatalogTests`

_Verifies:_ All HLS urls use HTTPS."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","44","","TestResults","RegressionTests","StreamAppTests.RegressionTests","test_catalog_lookup_is_case_sensitive","Catalog lookup is case sensitive","**Unit** test in `RegressionTests`

_Verifies:_ Catalog lookup is case sensitive."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","42","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allVideosHaveNonBlankTitles","All videos have non blank titles","**Unit** test in `VideoCatalogTests`

_Verifies:_ All videos have non blank titles."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","42","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allVideosHaveNonBlankIds","All videos have non blank ids","**Unit** test in `VideoCatalogTests`

_Verifies:_ All videos have non blank ids."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","47","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogContainsThreeVideos","Catalog contains three videos","**Unit** test in `VideoCatalogTests`

_Verifies:_ Catalog contains three videos."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","57","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_catalogVideoIdsAreUnique","Catalog video ids are unique","**Unit** test in `VideoCatalogTests`

_Verifies:_ Catalog video ids are unique."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","42","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_appleAdvancedVideoHasExpectedTitle","Apple advanced video has expected title","**Unit** test in `VideoCatalogTests`

_Verifies:_ Apple advanced video has expected title."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","44","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_allHLSUrlsPointToM3u8","All HLS urls point to m3u8","**Unit** test in `VideoCatalogTests`

_Verifies:_ All HLS urls point to m3u8."
"passed","Thu Jun 25 14:39:36 UTC 2026","Thu Jun 25 14:39:36 UTC 2026","41","","TestResults","VideoCatalogTests","StreamAppTests.VideoCatalogTests","test_findVideo_returnsNilForUnknownId","Find video returns nil for unknown id","**Unit** test in `VideoCatalogTests`

_Verifies:_ Find video returns nil for unknown id."
