"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Video Catalog","Get video by ID","Returns video when found and active","0","0","1","0","0"
"Video Catalog","Get all videos","Returns only active videos from repository","0","0","1","0","0"
"Video Catalog","Search videos","Null query falls back to returning all active videos","0","0","1","0","0"
"Video Catalog","Get all videos","Returns empty list when no active videos exist","0","0","1","0","0"
"Video Catalog","Create video","Duplicate videoId is rejected","0","0","1","0","0"
"Video Catalog","Update video","All mutable fields are replaced","0","0","1","0","0"
"Video Catalog","Delete video","Video is soft-deleted by setting active=false","0","0","1","0","0"
"Video Catalog","Filter by category","Delegates category filter to repository","0","0","1","0","0"
"Video Catalog","Search videos","Blank query falls back to returning all active videos","0","0","1","0","0"
"Video Catalog","Update video","Updating non-existent video throws VideoNotFoundException","0","0","1","0","0"
"Video Catalog","Get video by ID","Returns empty when video does not exist","0","0","1","0","0"
"Video Catalog","Delete video","Deleting non-existent video throws VideoNotFoundException","0","0","1","0","0"
"Video Catalog","Get video by ID","Returns empty when video is soft-deleted","0","0","1","0","0"
"Video Catalog","Search videos","Non-blank query is trimmed and forwarded to repository.search","0","0","1","0","0"
"Video Catalog","Create video","New video is persisted and returned","0","0","1","0","0"
