"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Video Catalog API","Delete Video","Deleted video no longer appears in list","0","0","1","0","0"
"Video Catalog API","List Videos","Filter by category returns matching videos only","0","0","1","0","0"
"Video Catalog API","Manifest","Get manifest for non-existent video returns 404","0","0","1","0","0"
"Video Catalog API","Delete Video","Delete video returns 204 and video no longer appears in listings","0","0","1","0","0"
"Video Catalog API","Update Video","Update non-existent video returns 404","0","0","1","0","0"
"Video Catalog API","Create Video","Missing required fields returns 400 validation error","0","0","1","0","0"
"Video Catalog API","List Videos","List all videos returns non-empty catalog","0","0","1","0","0"
"Video Catalog API","Get Video","Get existing video by ID returns full details","0","0","1","0","0"
"Video Catalog API","Get Video","Get non-existent video returns 404","0","0","1","0","0"
"Video Catalog API","Delete Video","Delete non-existent video returns 404","0","0","1","0","0"
"Video Catalog API","Create Video","Create a new video returns 201 with persisted data","0","0","1","0","0"
"Video Catalog API","Manifest","Get manifest returns HLS and DASH URLs","0","0","1","0","0"
"Video Catalog API","Create Video","Duplicate videoId returns 400 Bad Request","0","0","1","0","0"
"Video Catalog API","Search Videos","Empty search term returns all active videos","0","0","1","0","0"
"Video Catalog API","Search Videos","Search by description keyword works","0","0","1","0","0"
"Video Catalog API","Update Video","Update an existing video replaces all fields","0","0","1","0","0"
"Video Catalog API","Search Videos","Search by title keyword returns matching videos","0","0","1","0","0"
