"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 26 13:15:37 UTC 2026","Fri Jun 26 13:15:38 UTC 2026","813","chromium","navigation.spec.ts","Navigation @Smoke","","","Movies tab shows browse rows with playable tiles",""
"passed","Fri Jun 26 13:15:43 UTC 2026","Fri Jun 26 13:15:44 UTC 2026","1732","chromium","playback.spec.ts","Playback @Smoke","","","playback pauses and resumes in fullscreen player",""
"passed","Fri Jun 26 13:15:36 UTC 2026","Fri Jun 26 13:15:37 UTC 2026","1263","chromium","navigation.spec.ts","Navigation @BAT","","","tile opens detail page and back returns to browse tab",""
"passed","Fri Jun 26 13:15:38 UTC 2026","Fri Jun 26 13:15:39 UTC 2026","961","chromium","navigation.spec.ts","Navigation @Smoke","","","logo returns to home from Movies tab",""
"passed","Fri Jun 26 13:15:39 UTC 2026","Fri Jun 26 13:15:40 UTC 2026","1190","chromium","navigation.spec.ts","Navigation @Regression","","","detail page shows metadata panels",""
"failed","Fri Jun 26 13:15:44 UTC 2026","Fri Jun 26 13:16:48 UTC 2026","63952","chromium","playback.spec.ts","Playback @Regression","","","e2e autoplay query opens player directly",""
"passed","Fri Jun 26 13:15:34 UTC 2026","Fri Jun 26 13:15:36 UTC 2026","1199","chromium","navigation.spec.ts","Navigation @BAT","","","navbar switches between Home, Movies, Shows, and Live",""
"passed","Fri Jun 26 13:15:33 UTC 2026","Fri Jun 26 13:15:34 UTC 2026","1207","chromium","navigation.spec.ts","Navigation @BAT","","","home page loads with navbar and featured content",""
"passed","Fri Jun 26 13:16:49 UTC 2026","Fri Jun 26 13:16:50 UTC 2026","1622","chromium","playback.spec.ts","Playback @Regression","","","closing player overlay returns to detail page",""
"passed","Fri Jun 26 13:15:41 UTC 2026","Fri Jun 26 13:15:42 UTC 2026","1480","chromium","playback.spec.ts","Playback @Smoke","","","video starts playing after pressing Play",""
"passed","Fri Jun 26 13:15:40 UTC 2026","Fri Jun 26 13:15:41 UTC 2026","1165","chromium","playback.spec.ts","Playback @BAT","","","play button opens video element on detail page",""
