"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","findVideo","","","","","returns undefined for an unknown id","findVideo must return undefined when no video matches the given id."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","2","ALL_VIDEOS","","","","","all matchScore values are in the range 0–100","matchScore drives the recommendation percentage badge (0–100); values outside that range would cause display bugs."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","findVideo","","","","","returns undefined for an empty string","An empty string is not a valid video id and must return undefined."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","findVideo","","","","","finds every video present in ALL_VIDEOS by its id","findVideo must successfully locate every video that exists in ALL_VIDEOS."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","2","CATALOG","","","","","contains at least one row","The catalog must expose at least one content row."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","CATALOG","","","","","every row has a non-empty id and label","Every catalog row must have a non-empty id (used as a React key) and a display label."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","ALL_VIDEOS","","","","","all video IDs are unique","Duplicate video IDs would cause React key collisions and routing bugs."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","ALL_VIDEOS","","","","","all hlsUrl values are valid http(s) URLs","HLS stream URLs must be fully-qualified http(s) addresses ending in .m3u8 so HLS.js can load them."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","CATALOG","","","","","contains a ""featured"" row","The ""featured"" row drives the hero banner on the home page."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","ALL_VIDEOS","","","","","movies, shows, and live tabs each have content",""
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","2","ALL_VIDEOS","","","","","all videos have a contentType",""
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","findVideo","","","","","returns the exact same object reference (no clone)","findVideo should return the same reference stored in ALL_VIDEOS, not a copy, to enable identity comparisons."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","HERO_VIDEO","","","","","is the first video in the ""featured"" row","HERO_VIDEO powers the full-width hero banner; it must be the leading video in the ""featured"" row."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","CATALOG","","","","","contains a ""new-releases"" row","The new-releases row provides browse content for the home page."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","ALL_VIDEOS","","","","","all year values are plausible (≥ 2000)","Year values are displayed in the UI; obviously wrong years indicate a data entry error."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","ALL_VIDEOS","","","","","is the flat union of all CATALOG rows","ALL_VIDEOS must equal the flat-mapped union of every catalog row — no extras, no omissions."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","CATALOG","","","","","every row contains at least one video","Rendering an empty row would produce a blank carousel — every row must have ≥ 1 video."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","HERO_VIDEO","","","","","is findable by its id","HERO_VIDEO must be reachable via findVideo so detail pages work when navigating from the hero banner."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","0","ALL_VIDEOS","","","","","contains more than 5 videos","The catalog must have a meaningful number of videos — a count ≤ 5 would indicate missing content."
"passed","Fri Jun 26 13:14:47 UTC 2026","Fri Jun 26 13:14:47 UTC 2026","1","ALL_VIDEOS","","","","","all videos have non-empty id, title, and description","Every video must have the three fields required for display in a VideoTile component."
